title,rncp,rs,formation_id,niveau_sortie,prixmin,prixmax
Opérateur-trice de solutions de sécurité Cloud et Hybride,37680,5487,986,. Niveau 6 équivaut à un diplôme de niveau bac+3 ou bac+4.,12,27
Devenez ambassadeur de la cybersécurité pour votre PME/TPE !,,,1513,,,
Administrateur-trice d’infrastructures sécurisées,37680,5487,477,de niveau 6 BAC +3/4.,12,27
Administrateur-trice d’infrastructures sécurisées DevOps,37680,5234,1250,niveau 6* BAC +3/4,12,27
Technicien-ne d’assistance en Réalité Virtuelle,225,5487,989,,,
Analyse cybersécurité - spécialisation,,5021,463,,12,27
Développeur-euse Réalité Virtuelle/Réalité Augmentée - 3D temps réel,37524,,990,niveau 7 délivrée par Simplon Certificateur.,,
Acculturation Cyber : guide pour la résilience des PME/TPE,,,1506,,,
Gérer un projet en mobilisant les méthodes agiles,,5487,590,,12,27
École Cloud Microsoft By Simplon - Parcours Administrateur-rice Cloud,36061,5487,332,niveau 6,12,27
Programme AWS re/Start - formation Cloud,31115,5234,351,", équivalent Bac+2",12,27
École Cloud Microsoft By Simplon  - Parcours Développeur-se Cloud,,5043,331,,12,27
La méthode DevOps - Spécialisation,,5044,295,,12,27
Administrer avec la méthode DevOps - Spécialisation,,5234,294,,12,27
Développer avec la méthode DevOps - Spécialisation,,5043,296,,12,27
École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,37827,5487,23,"de niveau 6, équivalent à bac+3.",12,27
SAS de pré-qualification aux métiers du numérique - Intelligence Artificielle,,5599,816,,1227,27
Elaborez une solution d’IA pour votre PME/TPE !,,,1512,,,
Chef / Cheffe de projet en intelligence artificielle,36129,,1578,par décision de France Compétences en date du 26/01/2022.,12,27
Acculturation IA : Devenez le Pilote de l’IA pour votre PME/TPE,,,1502,,,
Data Engineer,,,744,,,
AI Business School TPE/PME,,,678,,,
Refugeeks - Compétences informatiques fondamentales,,5837,20,,,
Parcours Welcode,,,93,,,
Médiateur-trice numérique,,5837,748,,,
Mobiliser les compétences informatiques fondamentales,,5837,730,,12,27
Hackeuses - Culture et techniques du numérique,,5837,19,,12,27
Bootcamp IA 100% femmes,,,1677,,,
Artisanat et outils numériques - Culture numérique,,rs,404,,,
CléA Numérique - Compétences Digitales pour l’Emploi,,rs,369,,,
Artis - Culture et techniques du numérique,,5837,70,,,
Réaliser des applications web à l’aide d’un système de gestion de contenus - CMS,,5599,598,,,
Testeur.se jeu vidéo QA  Assurance Qualité,,,1495,,,
SAS de pré-qualification à la formation Développeur-se Web et Web Mobile,,5599,823,,12,27
Prépa Web Refugeeks2,,5599,1055,,1227,27
Objets connectés - Spécialisation,,5003,43,,12,27
"Développeur.euse informatique, option jeux vidéo 2D",37674,,1751,: “Développeur web et web mobile”,,
Intégrer l’accessibilité numérique pour développer des sites inclusifs,,5161,573,,,
Développeur-se COBOL,,,1362,,12,27
Développeur-se  back-end JAVA EE,31114,5487,682,niveau 5* équivalent Bac+2 : Développer la partie back-end d’une application web ou web mobile en intégrant les recommandations de sécurité.Une certification inscrite au Répertoire spécifique,12,27
Développeur-euse Front-end,,,1341,,12,27
Développeur-euse web et web mobile,37674,5487,11,"de niveau 5, équivalent à bac+2.",,
Concepteur-rice Développeur-se en environnement DevOps,37873,5043,800,"de niveau 6, équivalent à bac+3.",12,27
Concepteur-ice développeur-se d'applications,37873,5487,12,"niveau 6*, équivalent Bac+3 ou 4.",1227,27
Apple Foundation Program - Développement mobile iOS,,,24,,,
Advanced Apple Foundation Program - Concepteur-rice développeur-euse d'apps,37873,,865,"de niveau 6, équivalent à bac+3",12,27
Technicien-ne supérieur-e systèmes et réseaux,37682,,7,", équivalent Bac+2",12,27
Technicien-ne supérieur-e systèmes et réseaux - Spécialité surveillance de sécurité,37682,5020,1253,.,12,27
Technicien-ne helpdesk,225,5487,489,niveau IV équivalent Bac.,12,27
Technicien-ne d’assistance en informatique,37681,,8,"de niveau 5, équivalent au bac",,
Technicien-ne Support de Proximité,,,1425,,,
Technicien- supérieur-e systèmes et réseaux - Spécialisation analyse cybersécurité,37682,5021,15,,12,27
Technicien support spécialisation studio jeux vidéo,37681,,1567,,,
SAS de pré-qualif aux métiers du numérique - filière Infrastructures,,,811,,12,27
SAS de pré-qualification aux métiers du numérique - filière cybersécurité,,,905,,12,27
