title2,region,start_date,niveau_sortie,duree,type_formation,lieu_formation,formation_id,rncp,rs,formacodes,nsf_codes
École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,Grand Ouest,Début : août 2024,Sortie : bac+3,au-delà de 7 mois,Alternance,Ecole IA Microsoft by Simplon x CCI Côtes d'Armor - Saint-Brieuc,23,,,,
SAS de pré-qualification aux métiers de la Data et de l'IA,Hauts-de-France,Début : octobre 2024,,inférieur à 3 mois,,Simplon Lille -Wazemmes,816,,,,
Data Engineer - 100% à Distance en Alternance,Auvergne-Rhône-Alpes,Début : octobre 2024,,au-delà de 7 mois,Alternance,100% en ligne,744,,,,
Chef / Cheffe de projet en intelligence artificielle - 100% à Distance en Alternance,Auvergne-Rhône-Alpes,Début : octobre 2024,,au-delà de 7 mois,Alternance,100% en ligne,1578,,,,
Hackeuses - Découverte et orientation vers les métiers du numérique- (100% femmes du 93),Île-de-France,Début : septembre 2024,,inférieur à 3 mois,,Simplon Montreuil,19,,,,
Formation découverte des métiers du numérique - public jeunes 18-25 ans,Grand Ouest,Début : septembre 2024,,inférieur à 3 mois,,Simplon Angers,70,,,,
,,,,,,,1495,,,,
OBJECTIF NUMERIQUE - 16 à 25 ans - découverte et initiation au développement web,Auvergne-Rhône-Alpes,Début : septembre 2024,Sortie : bac,inférieur à 3 mois,,Simplon Lyon,823,,,,
Prépa Web Refugeeks,Hauts-de-France,Début : septembre 2024,,inférieur à 3 mois,,Simplon Lille -Wazemmes,1055,,,,
Développeur-euse web et web mobile,Hauts-de-France,Début : septembre 2024,Sortie : bac+2,au-delà de 7 mois,Alternance,Simplon Boulogne-sur-Mer,11,,,,
Concepteur-rice Développeur-se en environnement DevOps,Île-de-France,Début : septembre 2024,Sortie : bac+3,au-delà de 7 mois,Alternance,Simplon Montreuil,800,,,,
Concepteur-ice Développeur-se d'Applications,Hauts-de-France,Début : septembre 2024,Sortie : bac+3,au-delà de 7 mois,Alternance,Simplon Valenciennes - Les Ateliers Numériques,12,,,,
Apple Foundation Program - Développement mobile iOS - Promo 100% femmes,Île-de-France,Début : septembre 2024,,inférieur à 3 mois,,Simplon Montreuil,24,,,,
Technicien-ne supérieur-e systèmes et réseaux - Spécialité surveillance de sécurité,Grand Ouest,Début : septembre 2024,Sortie : bac+2,au-delà de 7 mois,Alternance,Simplon  Nantes,1253,,,,
Technicien-ne supérieur-e systèmes et réseaux -  100% à Distance en Alternance,Auvergne-Rhône-Alpes,Début : septembre 2024,Sortie : bac+2,au-delà de 7 mois,Alternance,100% en ligne,7,,,,
Technicien-ne d’assistance en informatique - 100% à Distance en Alternance,Auvergne-Rhône-Alpes,Début : septembre 2024,Sortie : bac,au-delà de 7 mois,Alternance,100% en ligne,8,,,,
SAS de pré-qualification aux métiers du numérique - spécialité infrastructure,Grand Ouest,Début : septembre 2024,,inférieur à 3 mois,,Simplon  Nantes,905,,,,
Compétences Fondamentales en Informatique & Linguistique Spécifique,Outre-mer,Début : septembre 2024,,inférieur à 3 mois,,La Réunion - Saint-Denis,811,,,,
Parcours Opérateur-trice de solutions de sécurité Cloud et Hybride - Nice,Provence-Alpes-Cote d'Azur,Début : septembre 2024,Sortie : bac+3,au-delà de 7 mois,Alternance,Simplon Nice,986,,,,
Administrateur-trice d’infrastructures sécurisées - 100% Alternance,Île-de-France,Début : septembre 2024,Sortie : bac+3,au-delà de 7 mois,Alternance,Simplon Aulnay-sous-Bois,1250,,,,
Administrateur-trice d’infrastructures sécurisées - 100% à Distance en Alternance,Auvergne-Rhône-Alpes,Début : septembre 2024,Sortie : bac+3,au-delà de 7 mois,Alternance,100% en ligne,477,,,,
