duree,formacodes,formation_id,lieu_formation,niveau_sortie,nsf_codes,prix_max,prix_min,region,rncp,rs,start_date,title,type_formation
,,,,,,,,,,,,Acculturation Cyber : guide pour la résilience des PME/TPE,
,,,,,,,,,,,,Gérer un projet en mobilisant les méthodes agiles,
,31051,989,,,326r,,,,225,,,Technicien-ne d’assistance en Réalité Virtuelle,
,"31088, 46266, 31094",990,,,"320t, 326t",,,,37524,,,Développeur-euse Réalité Virtuelle/Réalité Augmentée - 3D temps réel,
,,,,,,,,,,,,École Cloud Microsoft By Simplon  - Parcours Développeur-se Cloud,
,"31011, 30854, 30812, 31034, 31021",332,,,326,,,,36061,,,École Cloud Microsoft By Simplon - Parcours Administrateur-rice Cloud,
,,,,,,,,,,,,La méthode DevOps - Spécialisation,
,"24231, 31008",351,,,326,,,,31115,,,Programme AWS re/Start - formation Cloud,
,,,,,,,,,,,,Développer avec la méthode DevOps - Spécialisation,
,,,,,,,,,,,,Administrer avec la méthode DevOps - Spécialisation,
,,,,,,,,,,,,SAS de pré-qualification aux métiers du numérique - Intelligence Artificielle,
,"31028, 30812, 31067, 11050, 31094",23,,,"114b, 125g, 326",,,,37827,,,École IA Microsoft By Simplon - Développeur-se en intelligence artificielle,
,,,,,,,,,,,,Elaborez une solution d’IA pour votre PME/TPE !,
,,,,,,,,,,,,Data Engineer,
,,,,,,,,,,,,Acculturation IA : Devenez le Pilote de l’IA pour votre PME/TPE,
,"31094, 31028",1578,,,"326t, 326p",,,,36129,,,Chef / Cheffe de projet en intelligence artificielle,
,,,,,,,,,,,,AI Business School TPE/PME,
,,,,,,,,,,,,Refugeeks - Compétences informatiques fondamentales,
,,,,,,,,,,,,Parcours Welcode,
,,,,,,,,,,,,Médiateur-trice numérique,
,,,,,,,,,,,,Mobiliser les compétences informatiques fondamentales,
,,,,,,,,,,,,Hackeuses - Culture et techniques du numérique,
,,,,,,,,,,,,CléA Numérique - Compétences Digitales pour l’Emploi,
,,,,,,,,,,,,Bootcamp IA 100% femmes,
,,,,,,,,,,,,Artisanat et outils numériques - Culture numérique,
,,,,,,,,,,,,Artis - Culture et techniques du numérique,
,,,,,,,,,,,,Testeur.se jeu vidéo QA  Assurance Qualité,
,,,,,,,,,,,,SAS de pré-qualification à la formation Développeur-se Web et Web Mobile,
,,,,,,,,,,,,Réaliser des applications web à l’aide d’un système de gestion de contenus - CMS,
,,,,,,,,,,,,Prépa Web Refugeeks2,
,,,,,,,,,,,,Objets connectés - Spécialisation,
,,,,,,,,,,,,Intégrer l’accessibilité numérique pour développer des sites inclusifs,
,,,,,,,,,,,,Développeur-se COBOL,
,"31090, 46288, 31006, 70710",1751,,,326t,,,,37674,,,"Développeur.euse informatique, option jeux vidéo 2D",
,"46207, 31010",682,,,326t,,,,31114,,,Développeur-se  back-end JAVA EE,
,,,,,,,,,,,,Développeur-euse Front-end,
,"31067, 31036, 31010, 31084, 31006",800,,,326t,,,,37873,,,Concepteur-rice Développeur-se en environnement DevOps,
,,,,,,,,,,,,Apple Foundation Program - Développement mobile iOS,
,"24231, 31008",1253,,,"326p, 326r, 326u",,,,37682,,,Technicien-ne supérieur-e systèmes et réseaux - Spécialité surveillance de sécurité,
,"31081, 31080, 24231, 31051, 31016",8,,,326r,,,,37681,,,Technicien-ne d’assistance en informatique,
,,,,,,,,,,,,Technicien-ne Support de Proximité,
,,,,,,,,,,,,SAS de pré-qualification aux métiers du numérique - filière cybersécurité,
,,,,,,,,,,,,SAS de pré-qualif aux métiers du numérique - filière Infrastructures,
,"31015, 31006, 24273, 31008, 31034",986,,,326,,,,37680,,,Opérateur-trice de solutions de sécurité Cloud et Hybride,
,,,,,,,,,,,,Devenez ambassadeur de la cybersécurité pour votre PME/TPE !,
,,,,,,,,,,,,Analyse cybersécurité - spécialisation,
